,Neighborhood,City,State,latlon,zipcode
335,Swiss Manor,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
336,Westwing Mountain,Peoria,Arizona,"33.707299, -112.321065",85383.0
337,Stonegate Estates,Mesa,Arizona,"33.422793, -111.765222",85213.0
338,Falls Ranch,Yuma,Arizona,"32.660947, -114.728344",
339,Powell Estates,Mesa,Arizona,"36.906367, -111.47446",86040.0
340,The Terraces at the View,Yuma,Arizona,,
341,Rovey Farm Estates,Glendale,Arizona,"33.540229, -112.185256",
342,Higley Groves,Gilbert,Arizona,"33.353987, -111.713037",
343,Carrington Place,Chandler,Arizona,"33.292642, -111.944283",85226.0
344,Orangewood Estates,Glendale,Arizona,"33.540229, -112.185256",
345,Highland Groves At Morrison Ranch,Gilbert,Arizona,"33.347572, -111.698872",
346,Bear Canyon,Tucson,Arizona,"32.19709, -110.828987",85710.0
347,Sonoma Ranch,Gilbert,Arizona,"33.275162, -111.746129",85297.0
348,Corte Sierra,Avondale,Arizona,"33.484473, -112.334856",
349,Desert Springs,Glendale,Arizona,"33.540229, -112.185256",
350,Coldwater Ridge,Avondale,Arizona,"33.301136, -112.331817",
351,Morrision Ranch,Gilbert,Arizona,"33.27382, -111.695412",85297.0
352,Ray Manor,Chandler,Arizona,"33.318579, -111.83375",
353,Village Grove,Scottsdale,Arizona,"33.687647, -111.856562",85255.0
354,Santa Rita Ranch,Mesa,Arizona,"33.362203, -111.607267",
355,Dobson Place,Chandler,Arizona,"33.310045, -111.861363",85224.0
356,Lago Estancia,Gilbert,Arizona,"33.575012, -111.875328",
357,Rural-Geneva,Tempe,Arizona,"33.397023, -111.922302",85282.0
358,Rancho Sereno,Yuma,Arizona,"32.553325, -114.510731",
359,Ashley Park,Chandler,Arizona,"33.316821, -111.815545",
360,Crestview Court,Chandler,Arizona,"33.310045, -111.861363",85224.0
361,Madera Parc,Gilbert,Arizona,"33.342085, -111.798597",
362,University Heights,Tempe,Arizona,"33.41593, -111.913395",85281.0
363,Suntown,Peoria,Arizona,"33.787936, -112.33035",
364,Sewell,Tucson,Arizona,"32.19709, -110.828987",85710.0
365,La Paloma Estates,Yuma,Arizona,"32.553325, -114.510731",
366,Balboa Way,Chandler,Arizona,"33.310045, -111.861363",85224.0
367,Tiburon,Chandler,Arizona,"33.33033, -111.88959",85224.0
368,Paradise Park,Scottsdale,Arizona,"33.573654, -111.8957",
369,Optimist Park NE,Tempe,Arizona,"33.371455, -111.902941",85283.0
370,Mountain Ranch,Mesa,Arizona,"33.488153, -111.693863",85215.0
371,Knoell East,Chandler,Arizona,"33.360084, -111.880038",85202.0
372,Northpointe,Mesa,Arizona,"33.36394, -111.856906",
373,Wind Drift,Gilbert,Arizona,"33.603219, -111.924646",
374,Sweetwater,Scottsdale,Arizona,"33.687647, -111.856562",85255.0
375,Hughes Acres,Tempe,Arizona,"33.403229, -111.923357",85282.0
376,Lindsay Ranch,Gilbert,Arizona,"33.27382, -111.695412",85297.0
377,Greenfield Lakes,Gilbert,Arizona,"33.351049, -111.735387",
378,Tucson Park West No.1,Tucson,Arizona,"32.225003, -110.999503",85745.0
379,New World,Glendale,Arizona,"33.564608, -112.164821",
380,Cibola Heights,Yuma,Arizona,"32.553325, -114.510731",
381,Arrowhead Lakes,Glendale,Arizona,"33.540229, -112.185256",
382,Toumey Park,Tucson,Arizona,"32.211023, -110.896495",
383,Hohokam Village,Mesa,Arizona,"33.4406, -111.82014",85203.0
384,Parkview,Peoria,Arizona,"33.382355, -111.845278",
385,Fraser Fields,Mesa,Arizona,"33.422793, -111.765222",85213.0
